year,VClass,comb08,cylinders,displ,drive,fuelType,trany
1984,Small Pickup Trucks 2WD,24,4.0,2.0,2-Wheel Drive,Regular,Manual 5-spd
1984,Small Pickup Trucks 2WD,20,4.0,2.0,2-Wheel Drive,Regular,Automatic 4-spd
1984,Small Pickup Trucks 2WD,26,4.0,2.0,2-Wheel Drive,Regular,Manual 5-spd
1984,Small Pickup Trucks 2WD,24,4.0,2.0,2-Wheel Drive,Regular,Manual 4-spd
1984,Special Purpose Vehicles,14,6.0,2.8,2-Wheel Drive,Regular,Automatic 4-spd
1984,Special Purpose Vehicles,11,8.0,5.0,2-Wheel Drive,Regular,Automatic 3-spd
1984,Special Purpose Vehicles,17,4.0,2.3,2-Wheel Drive,Regular,Manual 4-spd
1984,Special Purpose Vehicles,14,6.0,2.8,2-Wheel Drive,Regular,Automatic 4-spd
1984,Special Purpose Vehicles,15,4.0,2.4,2-Wheel Drive,Regular,Manual 4-spd
1984,Large Cars,16,8.0,4.1,Rear-Wheel Drive,Regular,Automatic 4-spd
1984,Large Cars,16,8.0,5.0,2-Wheel Drive,Regular,Automatic 4-spd
1984,Large Cars,16,6.0,4.1,2-Wheel Drive,Regular,Automatic 4-spd
1984,Standard Pickup Trucks 2WD,17,6.0,4.1,2-Wheel Drive,Regular,Manual 4-spd
1984,Standard Pickup Trucks 2WD,15,8.0,5.0,2-Wheel Drive,Regular,Manual 4-spd
1984,Standard Pickup Trucks 2WD,17,6.0,4.9,2-Wheel Drive,Regular,Manual 4-spd
1984,Standard Pickup Trucks 2WD,14,6.0,4.9,2-Wheel Drive,Regular,Manual 4-spd
1984,Standard Pickup Trucks 2WD,17,6.0,4.1,2-Wheel Drive,Regular,Manual 4-spd
1984,Standard Pickup Trucks 2WD,15,8.0,5.0,2-Wheel Drive,Regular,Manual 4-spd
1984,Small Pickup Trucks 2WD,21,4.0,2.0,2-Wheel Drive,Regular,Manual 4-spd
1984,Small Pickup Trucks 2WD,22,4.0,2.0,2-Wheel Drive,Regular,Manual 5-spd
1984,Small Pickup Trucks 2WD,18,6.0,2.8,2-Wheel Drive,Regular,Automatic 4-spd
1984,Special Purpose Vehicle 4WD,17,4.0,2.4,4-Wheel or All-Wheel Drive,Regular,Manual 5-spd
1984,Small Pickup Trucks 2WD,21,4.0,2.0,2-Wheel Drive,Regular,Manual 4-spd
1984,Small Pickup Trucks 2WD,22,4.0,2.0,2-Wheel Drive,Regular,Manual 4-spd
1984,Special Purpose Vehicle 4WD,20,4.0,1.8,4-Wheel or All-Wheel Drive,Regular,Automatic 3-spd
1984,Special Purpose Vehicle 4WD,23,4.0,1.8,4-Wheel or All-Wheel Drive,Regular,Manual 4-spd
1984,Small Pickup Trucks 2WD,19,4.0,2.0,2-Wheel Drive,Regular,Automatic 3-spd
1984,Special Purpose Vehicle 4WD,20,4.0,1.8,4-Wheel or All-Wheel Drive,Regular,Automatic 3-spd
1984,Small Pickup Trucks 2WD,20,4.0,2.0,2-Wheel Drive,Regular,Automatic 3-spd
1984,Small Pickup Trucks 2WD,23,4.0,2.2,2-Wheel Drive,Regular,Manual 5-spd
1984,Small Pickup Trucks 2WD,22,4.0,2.0,2-Wheel Drive,Regular,Manual 4-spd
1984,Small Pickup Trucks 2WD,23,4.0,2.2,2-Wheel Drive,Regular,Manual 4-spd
1984,Small Pickup Trucks 2WD,22,4.0,2.4,2-Wheel Drive,Regular,Manual 5-spd
1984,Small Pickup Trucks 2WD,19,4.0,2.4,2-Wheel Drive,Regular,Automatic 3-spd
1984,Small Pickup Trucks 2WD,27,4.0,2.0,2-Wheel Drive,Regular,Manual 5-spd
1984,Small Pickup Trucks 2WD,18,6.0,2.8,2-Wheel Drive,Regular,Manual 5-spd
1984,Special Purpose Vehicle 4WD,20,4.0,1.8,4-Wheel or All-Wheel Drive,Regular,Automatic 3-spd
1984,Special Purpose Vehicle 4WD,24,4.0,1.8,4-Wheel or All-Wheel Drive,Regular,Manual 4-spd
1984,Small Pickup Trucks 2WD,18,6.0,2.8,2-Wheel Drive,Regular,Manual 4-spd
1984,Special Purpose Vehicle 4WD,20,4.0,1.8,4-Wheel or All-Wheel Drive,Regular,Automatic 3-spd
1984,Small Pickup Trucks 2WD,21,4.0,2.2,2-Wheel Drive,Regular,Automatic 3-spd
1984,"Vans, Cargo Type",16,6.0,4.9,2-Wheel Drive,Regular,Manual 3-spd
1984,Small Pickup Trucks 2WD,21,4.0,2.0,2-Wheel Drive,Regular,Manual 4-spd
1984,Small Pickup Trucks 2WD,23,4.0,2.0,2-Wheel Drive,Regular,Manual 5-spd
